language,package,available,use_in_this_isolation,analysis_decision
Python,liana,False,not_used_native_package,unavailable_native_package_recorded
Python,cellphonedb,False,not_used_native_package,unavailable_native_package_recorded
Python,scanpy,False,not_used_native_package,unavailable_native_package_recorded
Python,anndata,False,not_used_native_package,unavailable_native_package_recorded
Python,omnipath,False,not_used_native_package,unavailable_native_package_recorded
Python,decoupler,False,not_used_native_package,unavailable_native_package_recorded
R,CellChat,False,not_used_native_package,unavailable_native_package_recorded
R,nichenetr,False,not_used_native_package,unavailable_native_package_recorded
R,OmnipathR,False,not_used_native_package,unavailable_native_package_recorded
R,Seurat,True,not_used_native_package,available_but_not_required_for_resource_level_isolation
R,SingleCellExperiment,True,not_used_native_package,available_but_not_required_for_resource_level_isolation
