feature,patients,positive_patients,median_shared,median_other,mean_difference_shared_minus_other,median_difference_shared_minus_other,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,wilcoxon_fdr
AP1_JUN_FOS,15,6,0.994263588123784,1.0292031690376633,-0.06700559276213243,-0.12642629126107519,-0.2540775152273501,0.12848872360680247,0.389404296875,0.438079833984375
ECM_integrin_FAK,15,15,1.6639210533551163,1.0498138803390915,0.6133859432428469,0.5758190490122892,0.5356639175458605,0.7069465329068559,6.103515625e-05,0.00018310546875
ECM_remodeling,15,15,2.3588955188988776,1.467999945219383,0.9870714813423577,0.9381026721069945,0.8509280898279062,1.1447337587584474,6.103515625e-05,0.00018310546875
Hypoxia_HIF,15,6,0.6052705814549789,0.568964368265343,0.0007957026568193489,-0.00561229194460422,-0.056061447592465924,0.057748135703004536,0.93408203125,0.93408203125
NFkB_inflammatory,15,14,0.23154783074019733,0.1601244729211393,0.07227640641829493,0.06619867249531083,0.04074952389860155,0.10926903400165237,0.00115966796875,0.00208740234375
PDGF_axis,15,8,0.20534716172794712,0.09403280106034276,0.06999716501897334,0.046682966694927996,0.019325220017812852,0.11852933123841607,0.05553298081594267,0.07139954676335486
TGF_beta_SMAD,15,15,0.6235101446476492,0.22206688423311777,0.3925938587962518,0.38114023594717544,0.35934195220875575,0.4266141903468026,6.103515625e-05,0.00018310546875
VEGF_axis,15,2,0.356202340715412,0.4416320501994546,-0.06893957569288973,-0.07016910450133756,-0.10839215531537214,-0.031092545504549308,0.00335693359375,0.005035400390625
YAP_TAZ_TEAD,15,14,0.38152169805736785,0.26516532967174133,0.10414886426183566,0.10629819491919451,0.06465828984076569,0.14356213560002792,0.0006103515625,0.001373291015625
