feature,requested_genes,present_genes,present_gene_symbols,missing_gene_symbols
TGF_beta_SMAD,15,14,INHBA;SERPINE1;SMAD2;SMAD3;SMAD4;SMAD7;TGFB1;TGFB2;TGFBI;TGFBR1;TGFBR2;TGFBR3;THBS1;THBS2,CTGF
ECM_integrin_FAK,18,18,ACTN1;COL1A1;COL1A2;COL3A1;COL5A1;FN1;ITGA5;ITGAV;ITGB1;ITGB3;POSTN;PTK2;PXN;THBS1;THBS2;TLN1;TNC;VCL,
YAP_TAZ_TEAD,11,8,AMOTL2;ANKRD1;AXL;TEAD1;TEAD2;TEAD4;WWTR1;YAP1,CTGF;CYR61;TEAD3
NFkB_inflammatory,12,12,CCL2;CXCL8;ICAM1;IL1B;IL6;NFKB1;NFKBIA;NFKBIZ;RELA;RELB;TNF;TNFAIP3,
AP1_JUN_FOS,9,9,ATF3;EGR1;FOS;FOSB;FOSL1;FOSL2;JUN;JUNB;JUND,
Hypoxia_HIF,10,9,ADM;BNIP3;ENO1;HIF1A;LDHA;NDRG1;PDK1;SLC2A1;VEGFA,CA9
VEGF_axis,8,7,FLT1;FLT4;NRP1;NRP2;PGF;VEGFA;VEGFB,KDR
PDGF_axis,6,6,PDGFA;PDGFB;PDGFC;PDGFD;PDGFRA;PDGFRB,
ECM_remodeling,10,10,COL1A1;COL1A2;COL3A1;FN1;LOX;MMP14;MMP2;POSTN;TIMP1;TIMP2,
