state_cluster,gene,marker_score,mean_logexpr_in,mean_logexpr_out,pct_in,pct_out
1,COL1A1,1.3202757518463966,3.5955182166119566,0.9081964374999765,87.58029978586787,38.45050215208101
1,VCAN,1.0809964911878966,2.0376455968159544,0.2790527268067188,82.14132762312693,20.671927307508692
1,COL3A1,1.0701903680294302,2.9328779770731095,0.6861967992835508,76.83083511777356,29.196556671449553
1,POSTN,1.0560308087571662,2.1019863198324957,0.21194893707961723,69.85010706638165,13.976566236250793
1,MGP,1.0382390752078443,3.264547144474137,0.9318818360861463,79.74304068522541,35.234337637494626
1,FN1,0.9735747347806163,4.000893411052255,1.4919219749618375,95.8458244111356,57.042085126734634
1,SERPINE1,0.9214778018473146,2.4635964416705107,0.5837546283754595,82.99785867237746,33.97895743663376
1,COL1A2,0.7957414991107973,3.3044966079705205,1.1754739673341574,82.5695931477522,45.19368723099075
1,BGN,0.746756058258876,2.4959235632640904,0.8243086788845772,78.02997858672433,33.35724533715982
1,DCN,0.7458485455464842,1.7819674369227407,0.25986021801937764,66.55246252676706,17.55141080822599
1,LUM,0.6769892711458064,1.5256701543125677,0.12084214881916389,58.02997858672418,9.839789574366447
1,TAGLN,0.6317428061356243,2.1520351017337482,0.6724599417157088,65.653104925054,22.955523672884155
1,THBS2,0.5961287510514816,1.2056762371071592,0.06301225924853175,59.27194860813746,7.1018651362984855
1,AEBP1,0.5840849618321501,1.6052720889981202,0.29382992560415444,71.60599571734527,27.06838833094258
1,IGFBP7,0.5729914046061886,4.005088087451977,2.1597908422378733,95.37473233404779,64.3232902917276
1,COL5A1,0.5074499809579496,1.6008915739690421,0.4569062023108246,80.21413276231321,35.85604973696857
1,MICAL2,0.483620036757918,1.0887961348011435,0.16251534654746486,67.32334047109255,15.112386417982043
1,TIMP1,0.4698058914492344,3.347851801553232,1.5148654354278108,92.03426124197068,66.40363462458274
1,COL4A2,0.4666783304452291,1.7943394142938074,0.7337076350344997,75.80299785867291,31.80296508847495
1,CTHRC1,0.45751704760836875,1.1009590800368525,0.17327452059754622,65.78158458244158,16.463414634146584
1,FHL2,0.4539392797955978,1.0332935474877953,0.13749387223930767,65.73875802997905,15.0645624103302
1,SULF1,0.45237839275953,2.295658860181402,1.0079118951381507,89.93576017130685,54.806312769011015
1,COL8A1,0.43792367544353433,1.6468113164808567,0.6877945122599093,78.75802997858729,33.09421329507469
1,COL4A1,0.43510604704407596,1.6932724882943202,0.6903983826794952,71.43468950749515,28.04878048780534
1,CFH,0.43463362275474954,1.6284276821714307,0.49350510179164736,74.9892933618849,36.69296987087581
