state_annotation,disease,final_annotation,size
Low_fibrosis_mixed,PDR,Fibroblast_Mesenchymal,124
Low_fibrosis_mixed,PDR,Pericyte,126
Low_fibrosis_mixed,PVR,Fibroblast_Mesenchymal,1415
Low_fibrosis_mixed,PVR,Muller_Glial,1016
Low_fibrosis_mixed,PVR,RPE_like,235
Muller_stress,PDR,Fibroblast_Mesenchymal,97
Muller_stress,PDR,Pericyte,50
Muller_stress,PVR,Fibroblast_Mesenchymal,48
Muller_stress,PVR,Muller_Glial,1873
Muller_stress,PVR,RPE_like,6
Pericyte_contractile,PDR,Fibroblast_Mesenchymal,208
Pericyte_contractile,PDR,Pericyte,1340
Pericyte_contractile,PVR,Fibroblast_Mesenchymal,45
Pericyte_contractile,PVR,Muller_Glial,37
Pericyte_contractile,PVR,RPE_like,8
RPE_inflammatory,PDR,Fibroblast_Mesenchymal,66
RPE_inflammatory,PDR,Pericyte,16
RPE_inflammatory,PVR,Fibroblast_Mesenchymal,27
RPE_inflammatory,PVR,RPE_like,1627
Shared_ECM_TGFB_high,PDR,Fibroblast_Mesenchymal,1431
Shared_ECM_TGFB_high,PDR,Pericyte,18
Shared_ECM_TGFB_high,PVR,Fibroblast_Mesenchymal,799
Shared_ECM_TGFB_high,PVR,Muller_Glial,20
Shared_ECM_TGFB_high,PVR,RPE_like,67
