cluster,cells,automatic_annotation,annotation,Fibroblast_Mesenchymal_median_score,Fibroblast_Mesenchymal_positive_pct,Pericyte_median_score,Pericyte_positive_pct,Endothelial_median_score,Endothelial_positive_pct,Myeloid_median_score,Myeloid_positive_pct,T_NK_median_score,T_NK_positive_pct,RPE_like_median_score,RPE_like_positive_pct,Muller_Glial_median_score,Muller_Glial_positive_pct,Photoreceptor_median_score,Photoreceptor_positive_pct,Cycling_median_score,Cycling_positive_pct,Mast_median_score,Mast_positive_pct,Erythroid_median_score,Erythroid_positive_pct
0,5296,T_NK,T_NK,0.0,37.33006042296073,0.0,3.4176737160120845,0.0,13.670694864048338,0.5117446325489899,97.62084592145015,1.7822621337197888,99.83006042296071,0.0,16.42749244712991,0.18203627459919097,69.14652567975831,0.0,33.931268882175225,0.0,37.292296072507554,0.0,0.11329305135951663,0.0,0.3776435045317221
1,3211,Photoreceptor,Photoreceptor,0.061545736361602085,52.10214886328247,0.0,11.273746496418562,0.0,2.709436312675179,0.0,49.4861413889754,0.16979329791617379,70.38305823730924,0.0,23.294923699782,0.23459878096716905,81.25194643413268,2.0097593853396063,100.0,0.22292848782535274,67.64247897851136,0.0,0.03114294612270321,0.0,1.1522890065400186
2,3011,Muller_Glial,Muller_Glial,0.3700422257023023,86.31683825971437,0.0,43.24144802391232,0.11606151596382434,58.68482231816672,0.06750129435456016,53.902358020591166,0.0,30.388575224178016,0.0,42.9757555629359,1.74627359102152,99.20292261707074,0.04332438296043021,53.204915310528065,0.0,43.97210229159747,0.0,0.564596479574892,0.0,1.0959814015277316
3,2739,Myeloid,Myeloid,0.11823933682654852,81.27053669222344,0.0,15.589631252281855,0.15206096158569316,84.73895582329317,2.149943675792016,100.0,0.29214091270253345,97.18875502008032,0.07571760609831815,72.36217597663381,0.6443665096101482,99.63490324936109,0.07824901902897863,74.91785323110625,0.06327176089118679,52.68346111719606,0.0,0.8762322015334063,0.0,1.569916027747353
4,2497,T_NK,T_NK,0.0,41.69002803364037,0.0,13.616339607529035,0.0,3.0036043251902282,0.48503415955303464,98.39807769323188,1.3609298000338697,99.9199038846616,0.0,20.584701641970366,0.16784683298906614,70.92511013215858,0.0,39.167000400480575,0.0,26.39167000400481,0.0,0.08009611533840609,0.0,0.8009611533840608
5,2473,Myeloid,Myeloid,0.0,23.736352608168218,0.0,1.4961585119288312,0.0,15.851192883137887,1.798032682757815,98.3420946219167,0.0,31.904569348968863,0.0,12.575818843509905,0.35340126710414266,72.82652648604933,0.0,16.619490497371615,0.0,15.123331985442782,0.0,0.16174686615446826,0.0,0.040436716538617065
6,2215,Fibroblast_Mesenchymal,Fibroblast_Mesenchymal,0.3902768672405007,78.51015801354401,0.0,38.013544018058695,0.0,15.80135440180587,0.0,38.284424379232505,0.0,22.483069977426638,0.07115374107299867,50.79006772009029,0.3727459451353925,74.80812641083521,0.0,35.71106094808126,0.0,20.632054176072234,0.0,0.2257336343115124,0.0,1.7607223476297968
7,1943,Muller_Glial,RPE_like,0.28256492630603386,91.19917653113741,0.07440990317988146,57.59135357694287,0.0,6.742151312403499,0.124635368287989,69.48018528049408,0.0,41.53371075656202,1.0152228565120336,98.6618630983016,1.0673631348999124,99.69119917653114,0.06629208193611587,64.12763767370046,0.0,36.90169840452908,0.0,2.8821410190427175,0.0,1.7498713329902211
8,1592,Photoreceptor,Photoreceptor,0.0,40.32663316582914,0.0,15.7035175879397,0.0,2.198492462311558,0.0,43.969849246231156,0.13141085663908653,56.03015075376885,0.0,22.173366834170853,0.23967540778184077,76.88442211055276,1.203712400811859,96.85929648241206,0.22059108944468012,61.4321608040201,0.0,0.12562814070351758,0.0,0.7537688442211055
9,1022,Photoreceptor,Photoreceptor,0.0,18.98238747553816,0.0,5.772994129158512,0.0,1.467710371819961,0.0,19.667318982387474,0.0,29.45205479452055,0.0,8.317025440313111,0.0,49.02152641878669,2.2014519857563304,100.0,0.0,46.771037181996086,0.0,0.09784735812133072,0.0,0.09784735812133072
10,421,Photoreceptor,Photoreceptor,0.06893980768466446,69.12114014251782,0.0,29.928741092636578,0.0,9.97624703087886,0.11518399188182887,74.10926365795724,0.16421103717403024,83.8479809976247,0.0,43.46793349168646,0.3069455445690907,93.58669833729216,1.5754686986320303,100.0,0.35427335070537175,93.34916864608076,0.0,0.0,0.0,0.9501187648456058
