accession,disease,sample,raw_cells,min_umi,max_umi,min_genes,max_genes,max_mito_pct,low_quality_pass_cells,upper_outlier_cells,scrublet_input_cells,expected_doublet_rate,scrublet_threshold,predicted_doublets,final_pass_cells,final_pass_pct,median_umi_final,median_genes_final,median_mito_pct_final
GSE294329,PVR,GSM8902421_XZH02,7051,500,68064,200,15109,25.0,6366,13,6366,0.050928,0.3527736905945192,55,6298,89.32066373564034,3906.5,1699.0,11.020680032414962
GSE294329,PVR,GSM8902422_WHN03,5626,500,184023,200,28251,25.0,4744,0,4744,0.037952,0.24362869765988932,51,4693,83.41628154994667,4196.0,1744.0,11.579876434245366
GSE294329,PVR,GSM8902423_ZWB04,5354,500,97632,200,21699,25.0,4885,1,4885,0.03908,0.31504511366488475,28,4856,90.69854314531192,3639.5,1673.5,8.925998303282249
GSE294329,PVR,GSM8902424_NPC05,4767,500,64590,200,15048,24.8777387498334,4480,2,4480,0.035840000000000004,0.4160706007239424,13,4465,93.66477868680512,3935.0,1773.0,8.599457315800459
GSE294329,PVR,GSM8902425_JT06,7015,500,102867,200,23492,25.0,6134,0,6134,0.049072000000000005,0.4092203464730169,26,6108,87.07056307911618,3236.5,1501.0,9.585240748731495
GSE245561,PDR,GSM7845000_AF-TD-FAW-1,1130,500,11352,200,4335,12.222223545813629,1023,82,1023,0.01,0.08915613167950592,2,939,83.09734513274336,1330.0,778.0,5.29446757882213
GSE245561,PDR,GSM7845001_AF-TD-FAW-2,1592,500,562570,200,55775,12.912161935426852,1358,0,1358,0.010864,0.1037710447800366,5,1353,84.98743718592965,11305.0,3459.0,5.127287049303591
GSE245561,PDR,GSM7845002_AF-TD-TED-2,5371,500,578954,200,48143,15.041541495634497,4529,0,4529,0.036232,0.4381081945097298,3,4526,84.26736175758704,10362.0,3645.5,5.3026840948932925
GSE245561,PDR,GSM7845003_AF-TTF-1,1835,500,207573,200,35596,16.078382535477584,1558,2,1558,0.012464000000000001,0.13279692656873388,4,1552,84.57765667574932,3632.0,1722.5,3.4774719008229424
GSE165784,PVR,GSM5049904_RRD-ERM1,3481,867,19576,481,3680,25.0,3263,1,3263,0.026104,0.3253839736715251,3,3259,93.62252226371733,4241.0,1353.0,14.927857935627081
GSE165784,PDR,GSM5049905_PDR-ERM-51,1765,695,27278,384,6323,25.0,1467,6,1467,0.011736,0.12184710189733361,4,1457,82.54957507082153,4680.0,1652.0,15.256667622598222
GSE165784,PDR,GSM5049906_PDR-ERM-59,1413,1043,24561,586,4570,21.8869804166119,1351,4,1351,0.010808,0.11043809574740951,2,1345,95.18754423213022,5111.0,1660.0,11.345141215892772
GSE165784,PDR,GSM5277737_F47-PDR-ERM,1058,500,18903,323,4650,24.93141369255902,1027,2,1027,0.01,0.09047590364935135,4,1021,96.50283553875236,2958.0,1233.0,12.963671128107075
GSE165784,PDR,GSM5690478_PDR-FM-0609,1255,1368,49927,729,7611,19.968963578551623,1174,1,1174,0.01,0.09465382841328393,4,1169,93.14741035856574,8644.0,2418.0,7.166142740714868
GSE165784,PDR,GSM5690479_PDR-ERM-210630,2520,1097,40294,650,6129,13.775378915037704,2337,6,2337,0.018696,0.21875687128258509,2,2329,92.42063492063492,6902.0,2030.0,6.837160751565762
