gene,translational_tier,shared_cells,other_target_state_cells,shared_expressing_fraction,other_expressing_fraction,expressing_fraction_difference,expressing_fraction_ratio,shared_mean_log_expression,other_mean_log_expression,mean_log_expression_difference,patients,patients_any_expression,patients_expression_fraction_ge_10pct,median_patient_expressing_fraction,min_patient_expressing_fraction,median_patient_mean_log_expression,highest_non_target_cell_type,highest_non_target_expressing_fraction,highest_non_target_mean_log_expression,PDR_median_patient_expressing_fraction,PVR_median_patient_expressing_fraction,cross_disease_balance_ratio,experimental_role
POSTN,Tier_1_direct_ocular,2335,8364,0.6985010706638116,0.13976566236250598,0.5587354083013056,4.9976586441677675,2.070687900602247,0.20642446088277566,1.8642634397194713,15,15,15,0.7659574468085106,0.1978021978021978,2.5410045767039766,Endothelial,0.2218803418803419,0.37266742086501675,0.9423076923076923,0.3313041125541125,0.35158803781252757,Primary intervention target
FN1,Tier_2_mechanistic,2335,8364,0.9584582441113491,0.5704208512673362,0.38803739284401284,1.6802650919612918,3.958363508261677,1.4632117046750222,2.495151803586655,15,15,15,1.0,0.7613636363636364,4.4128946316529065,Cycling_Myeloid,0.7948717948717948,2.467080638935707,1.0,0.8744276556776557,0.8744276556776557,Broad ECM positive control; safety-limited target
THBS2,Tier_2_mechanistic,2335,8364,0.5927194860813705,0.07101865136298421,0.5217008347183862,8.345969329266975,1.1803829948555034,0.06077893649580407,1.1196040583596993,15,15,12,0.7843137254901961,0.017857142857142856,1.1038386685350627,Endothelial,0.11794871794871795,0.15872192775046412,0.8222222222222222,0.08410339660339661,0.1022879147879148,PDR-weighted state-specific comparator
CTHRC1,Tier_2_mechanistic,2335,8364,0.6578158458244111,0.16463414634146342,0.49318169948294766,3.9956221746371634,1.0775217063885816,0.16724266881906485,0.9102790375695167,15,15,15,0.6875,0.32142857142857145,1.1694197315140356,Endothelial,0.4581196581196581,0.6263411504894706,0.8125,0.4340659340659341,0.5342349957734573,Cross-disease mechanistic comparator
AEBP1,Tier_2_mechanistic,2335,8364,0.7160599571734475,0.27068388330942134,0.44537607386402617,2.645373446024167,1.5759439583805614,0.2840478301518396,1.2918961282287218,15,15,15,0.8222222222222222,0.20238095238095238,1.4639094051680943,Endothelial,0.3323076923076923,0.36848862732642373,0.9361702127659575,0.44720066518847007,0.4776916196331385,PDR-weighted mechanistic comparator
IGFBP7,Tier_3_emerging,2335,8364,0.9537473233404711,0.6432329029172644,0.31051442042320665,1.482740262531543,3.962862716529012,2.1222121552867335,1.8406505612422785,15,15,15,1.0,0.8445378151260504,4.173949157916448,Endothelial,0.9302564102564103,3.219343173736588,1.0,0.877518315018315,0.877518315018315,Broad endothelial-associated emerging marker
SULF1,Tier_3_emerging,2335,8364,0.8993576017130621,0.5480631276901005,0.35129447402296166,1.6409744722356132,2.2584525266950286,0.9786102512590815,1.279842275435947,15,15,15,0.9411764705882353,0.7195121951219512,2.3433494507004613,Endothelial,0.17162393162393164,0.24361893962453687,0.9777777777777777,0.7702922077922079,0.7877988488783945,Cross-disease emerging comparator
CFH,Do_not_inhibit_retinal_protective,2335,8364,0.7498929336188437,0.3669296987087518,0.3829632349100919,2.0436964798918242,1.5986072045160542,0.47697918469313977,1.1216280198229145,15,15,15,0.7021276595744681,0.3671875,1.3656981757676845,Endothelial,0.5100854700854701,0.694370929902484,0.8666666666666667,0.5677660753880266,0.6551147023707999,Retinal-protective non-inhibition safety control
TIMP1,Risk_review_context_dependent,2335,8364,0.9203426124197002,0.6640363462458154,0.25630626617388474,1.3859822848898762,3.3080145424837917,1.4802359435936194,1.8277785988901722,15,15,15,0.9812865497076023,0.7083333333333334,3.5232015410934885,Cycling_Myeloid,0.8005698005698005,1.6909320594492343,1.0,0.882257448433919,0.882257448433919,Context-dependent risk control
SERPINE1,Risk_review_context_dependent,2335,8364,0.8299785867237688,0.3397895743663319,0.4901890123574369,2.442625228486137,2.430985203227014,0.5699398497010012,1.8610453535260127,15,15,15,0.8478260869565217,0.4230769230769231,2.17986938132392,Endothelial,0.4341880341880342,0.8116070939476415,0.8478260869565217,0.8005226480836236,0.9442062003037612,Context-dependent risk control
